,ID,Date,Company,Title,Link
145,Kfkvj5EbU1f2c1SyZKiVhw==,10/18/2021,ELCA Vietnam,fresher,https://vn.linkedin.com/jobs/view/fresher-at-elca-vietnam-2756953816?refId=TOmrE4GkeTfJtkHfaQOVFg%3D%3D&trackingId=Kfkvj5EbU1f2c1SyZKiVhw%3D%3D&position=1&pageNum=5&trk=public_jobs_jserp-result_search-card
146,,10/10/2021,Fortna,data manager,https://vn.linkedin.com/jobs/view/data-manager-at-fortna-2751011107?refId=TOmrE4GkeTfJtkHfaQOVFg%3D%3D&trackingId=WoM16VTiXD4s4yE71MgNEQ%3D%3D&position=4&pageNum=5&trk=public_jobs_jserp-result_search-card
147,01umJG8zBo94e4HEWWl1cw==,10/14/2021,Shopee,shopee express - business expansion,https://vn.linkedin.com/jobs/view/shopee-express-business-expansion-at-shopee-2698734764?refId=TOmrE4GkeTfJtkHfaQOVFg%3D%3D&trackingId=01umJG8zBo94e4HEWWl1cw%3D%3D&position=5&pageNum=5&trk=public_jobs_jserp-result_search-card
148,,9/17/2021,Grab Vietnam,data processing team leader,https://vn.linkedin.com/jobs/view/data-processing-team-leader-at-grab-vietnam-2752618177?refId=TOmrE4GkeTfJtkHfaQOVFg%3D%3D&trackingId=mIHIFoFdhZdFLzAL5iUqyw%3D%3D&position=6&pageNum=5&trk=public_jobs_jserp-result_search-card
149,,10/1/2021,ShopeeFood,project data analyst,https://vn.linkedin.com/jobs/view/project-data-analyst-at-shopeefood-2773461264?refId=TOmrE4GkeTfJtkHfaQOVFg%3D%3D&trackingId=cEZ%2FxEvl3Z8r6r1aek8ALg%3D%3D&position=11&pageNum=5&trk=public_jobs_jserp-result_search-card
150,cOSRdXwkUuvJte+Idel8EQ==,10/3/2021,GeoGuard,business data analyst,https://vn.linkedin.com/jobs/view/business-data-analyst-at-geoguard-2777191053?refId=TOmrE4GkeTfJtkHfaQOVFg%3D%3D&trackingId=cOSRdXwkUuvJte%2BIdel8EQ%3D%3D&position=12&pageNum=5&trk=public_jobs_jserp-result_search-card
151,wbAhCoyjANQC4QTAlcLLUQ==,10/23/2021,Amanotes,data analyst - strategic projects (based in hcmc),https://vn.linkedin.com/jobs/view/data-analyst-strategic-projects-based-in-hcmc-at-amanotes-2771307704?refId=TOmrE4GkeTfJtkHfaQOVFg%3D%3D&trackingId=wbAhCoyjANQC4QTAlcLLUQ%3D%3D&position=13&pageNum=5&trk=public_jobs_jserp-result_search-card
152,,10/10/2021,Datvietvac Group Holdings,data analysis và bi reporting,https://vn.linkedin.com/jobs/view/data-analysis-v%C3%A0-bi-reporting-at-datvietvac-group-holdings-2751007017?refId=TOmrE4GkeTfJtkHfaQOVFg%3D%3D&trackingId=MzjhYhdzs9a%2Fwu0VS%2BSCww%3D%3D&position=14&pageNum=5&trk=public_jobs_jserp-result_search-card
153,U/UfTcWjyL5TpdYYialh0Q==,9/19/2021,Shopee,spx - business expansion,https://vn.linkedin.com/jobs/view/spx-business-expansion-at-shopee-2756451942?refId=TOmrE4GkeTfJtkHfaQOVFg%3D%3D&trackingId=U%2FUfTcWjyL5TpdYYialh0Q%3D%3D&position=15&pageNum=5&trk=public_jobs_jserp-result_search-card
154,feirprDH0lCV6LFXV2uttg==,9/19/2021,Shopee,performance management lead,https://vn.linkedin.com/jobs/view/performance-management-lead-at-shopee-2756455619?refId=TOmrE4GkeTfJtkHfaQOVFg%3D%3D&trackingId=feirprDH0lCV6LFXV2uttg%3D%3D&position=16&pageNum=5&trk=public_jobs_jserp-result_search-card
