,Title,Company,Location,Link,Review
137,Business Analyst,PHSA,"Vancouver, BC•Remote",https://ca.indeed.com/rc/clk?jk=4476e08a03c0ae29&fccid=f66f721a44de3765&vjs=3,3.2
138,Power BI Consultant,Keyrus Canada EN,"Montréal, QC•Remote",https://ca.indeed.com/rc/clk?jk=c1663b644e36cfb1&fccid=a725f90c32430fef&vjs=3,None
139,Axiom - Business Analyst,BNP Paribas,"Montréal, QC•Remote",https://ca.indeed.com/rc/clk?jk=f9a6736f899fc6f0&fccid=1392500f835bba92&vjs=3,3.9
140,"Service Business Analyst (Mississauga, Canada)",Philips,"Mississauga, ON",https://ca.indeed.com/rc/clk?jk=81aebd9545e41704&fccid=e4af9ca5b6d3a604&vjs=3,4.0
141,"new
Front Office Analyst, High Value Accounts",NRG,"Calgary, AB•Remote",https://ca.indeed.com/rc/clk?jk=7fcc70612ec69b0e&fccid=ba62ec521e3e5609&vjs=3,3.8
142,I.T Business Analyst (Contract),Alberta Motor Association,"Edmonton, AB•Remote",https://ca.indeed.com/rc/clk?jk=078acba31875b5a9&fccid=e6c501a44445ee31&vjs=3,3.6
143,BI Developer,Keyrus Canada FR,"Montréal, QC•Remote",https://ca.indeed.com/rc/clk?jk=15b3f2acd501ba07&fccid=1b2af63c928af99e&vjs=3,None
144,Category Management Analyst,KIND,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=dadddbb1e352c1f8&fccid=7fe31231d8054866&vjs=3,4.1
145,IT HR Business Analyst,MHI RJ Aviation Canada,"Montréal, QC•Remote",https://ca.indeed.com/rc/clk?jk=ec7e6769b74d0c9a&fccid=d68d3f2a07e84c09&vjs=3,None
146,Supply Chain Strategy & Optimization Analyst,Staples Canada,"Richmond Hill, ON•Remote",https://ca.indeed.com/rc/clk?jk=fd16c504f5a26156&fccid=5fb424bf650ac38a&vjs=3,3.6
147,"Senior Analyst, FP&A",League Inc,"Vancouver, BC+4 locations•Remote",https://ca.indeed.com/rc/clk?jk=77337546523697c4&fccid=f4a9bd63e3986889&vjs=3,3.0
148,Data Visualization Designer,Alberta Motor Association,"Edmonton, AB•Remote",https://ca.indeed.com/rc/clk?jk=c0b9f91d4272fce6&fccid=e6c501a44445ee31&vjs=3,3.6
149,"new
Business System Analyst – Brokerage",CGI,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=148c789f01a504e1&fccid=43a69183767d4301&vjs=3,3.6
150,Remote Sensing Analyst,Hatfield Consultants,"North Vancouver, BC+1 location•Remote",https://ca.indeed.com/company/Hatfield-Consultants/jobs/Remote-Sensing-Analyst-d6db835d911f8b40?fccid=9f1a0c1d141cefa9&vjs=3,None
