,Title,Company,Location,Link,Review
135,Adobe Analytics Data Analyst,EY,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=ec6a64ed5f59892f&fccid=1544766d4c2915b0&vjs=3,4.0
136,Advertising & Promotions Coordinator,Metrolinx,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=e7dc1c675f9e7a78&fccid=d414f1d26cf29ec6&vjs=3,4.0
137,Junior Engineer - Logistics Simulation & Business Intelligen...,Ausenco,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=eec8c48000de3b07&fccid=c8c37aa2b92ee568&vjs=3,4.0
138,Analytics Engineering Intern (Winter Term - 2022),SnapTravel,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=f50b9dfe9f38dc4c&fccid=960d8f54f5a1520f&vjs=3,None
139,"new
Analytics & Insights Analyst",AIR MILES,"Montréal, QC•Temporarily Remote",https://ca.indeed.com/rc/clk?jk=37b2b60ec30d3d9f&fccid=cfd800e466ff9171&vjs=3,3.4
140,"new
Auditor (with Data Analytics)",LCBO,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=5ee29c0b8ad6738c&fccid=4aada7d45fd3c7df&vjs=3,3.7
141,Analytics Engineer,Clearco,Ontario•Remote,https://ca.indeed.com/rc/clk?jk=b449bed530c32c2e&fccid=4799ed9185c0edc2&vjs=3,None
142,"new
Director of Integration, Planning and Analytics",Canada Energy Regulator,"Calgary, AB•Temporarily Remote",https://ca.indeed.com/rc/clk?jk=62fb737f4088d8d9&fccid=1dd9da4d310fe606&vjs=3,None
143,Web Analytics Specialist,VonClaro,"Waterloo, ON",https://ca.indeed.com/rc/clk?jk=8749b2cd34227b07&fccid=eaf6a959cf3b127f&vjs=3,None
144,"new
Junior Research Analyst",Carleton University,"Ottawa, ON",https://ca.indeed.com/rc/clk?jk=b667e7bd136e4eb8&fccid=4e06fa6e7a19b6a0&vjs=3,4.4
145,BI Analyst - Skip Express Lane Analytics,SkipTheDishes,"Winnipeg, MB",https://ca.indeed.com/rc/clk?jk=0b2bd7420f4dc242&fccid=3a2c8b6a483f049b&vjs=3,2.9
146,"new
Sales Support Intern",Signify,"Boisbriand, QC",https://ca.indeed.com/rc/clk?jk=08774e978cb626a3&fccid=508609a1a9ea1ca9&vjs=3,3.8
147,"new
Customer - Vice President, The Customer",Aritzia,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=28fa6dd8bd94e9d3&fccid=230bf53df7c46c1a&vjs=3,3.4
